name,price,url,details
GLAMIRA Bracelet Fouett,$899.00,https://www.glamira.com/glamira-bracelet-fouett.html?alloy=white-750&stone1=diamond-Brillant,"{""Product No"": ""Fouett"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""18K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 3.10 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Carat"": ""0.07"", ""Quantity of stones"": ""1"", ""Center Stone Diameter"": ""2.5 mm""}"
GLAMIRA Bracelet Fionnuala 3.5 mm,"$1,078.00",https://www.glamira.com/glamira-bracelet-fionnuala-3-5-mm.html?alloy=yellow-585&stone1=diamond-Brillant,"{""Product No"": ""fionnuala-3.5mm"", ""Gender"": ""Female"", ""Solid"": ""Yes"", ""Length"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 4.23 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Carat"": ""0.16"", ""Quantity of stones"": ""1"", ""Center Stone Diameter"": ""3.5 mm""}"
GLAMIRA Bracelet Fionnuala 3.0 mm,$621.00,https://www.glamira.com/glamira-bracelet-fionnuala-3-0-mm.html?alloy=white-585&stone1=lab-grown-diamond,"{""Product No"": ""fionnuala-3mm"", ""Gender"": ""Female"", ""Solid"": ""No"", ""Length"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal"": ""14K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 3.04 Grams"", ""Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Carat"": ""0.1"", ""Quantity of stones"": ""1"", ""Center Stone Diameter"": ""3.0 mm""}"
GLAMIRA Bracelet Clasia,$608.00,https://www.glamira.com/glamira-bracelet-clasia.html?alloy=white-585&stone1=diamond-Brillant,"{""Product No"": ""clasia-b"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""14K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 2.34 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.072"", ""Quantity of stones"": ""4"", ""Center Stone Diameter"": ""1.6 mm""}"
GLAMIRA Bracelet Fionnuala 4.5 mm,"$1,156.00",https://www.glamira.com/glamira-bracelet-fionnuala-4-5-mm.html?alloy=yellow-585&stone1=ruby,"{""Product No"": ""fionnuala-4.5mm"", ""Gender"": ""Female"", ""Solid"": ""No"", ""Length"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 5.86 Grams"", ""Stone"": ""Ruby"", ""Certification"": ""GL Certified"", ""Color"": ""Red"", ""Stone Clarity"": ""AA"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Carat"": ""0.35"", ""Quantity of stones"": ""1"", ""Center Stone Diameter"": ""4.5 mm""}"
GLAMIRA Bracelet Denyse,$697.00,https://www.glamira.com/glamira-bracelet-denyse.html?alloy=yellow-585&stone1=diamond-Brillant,"{""Product No"": ""denyse"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 3.15 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.02"", ""Quantity of stones"": ""2"", ""Center Stone Diameter"": ""1.3 mm""}"
GLAMIRA Bracelet Tressa,$352.00,https://www.glamira.com/glamira-bracelet-tressa.html?alloy=white-375&stone1=diamond-Brillant,"{""Product No"": ""tressa"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""9K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 0.59 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.12"", ""Quantity of stones"": ""4"", ""Center Stone Diameter"": ""2.0 mm""}"
GLAMIRA Bracelet Tamesha,$715.00,https://www.glamira.com/glamira-bracelet-tamesha.html?alloy=yellow-585&stone1=diamond-Brillant&stone2=diamond-Brillant,"{""Product No"": ""tamesha-b"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 2.37 Grams"", ""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.12"", ""Quantity of stones"": ""4"", ""Center Stone Diameter"": ""2.0 mm""}"
GLAMIRA Bracelet Fionnuala 2.5 mm,$780.00,https://www.glamira.com/glamira-bracelet-fionnuala-2-5-mm.html?alloy=yellow-585&stone1=diamond-Brillant,"{""Product No"": ""fionnuala-2.5mm"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 3.59 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Carat"": ""0.07"", ""Quantity of stones"": ""1"", ""Center Stone Diameter"": ""2.5 mm""}"
GLAMIRA Bracelet Amazzi,$375.00,https://www.glamira.com/glamira-bracelet-amazzi.html?alloy=yellow-585&pearl=white_pearl&stone1=lab-grown-diamondhttps://www.glamira.com/glamira-bracelet-iliana.html?alloy=white-585&stone1=diamond-Brillant,"{""Product No"": ""MXM217"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 1.28 Grams"", ""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.032"", ""Quantity of stones"": ""4"", ""Center Stone Diameter"": ""1.2 mm""}"
GLAMIRA Bracelet Astropel,$226.00,https://www.glamira.com/glamira-bracelet-astropel.html?alloy=white-silber&stone1=diamond-Brillant,"{""Product No"": ""UNL173"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Solid"": ""Yes"", ""Color / Metal"": ""925 Silver"", ""Rhodium Plated"": ""Yes"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 0.99 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.016"", ""Quantity of stones"": ""4"", ""Center Stone Diameter"": ""0.9 mm""}"
GLAMIRA Bracelet Unerka,"$1,191.00",https://www.glamira.com/glamira-bracelet-unerka.html?alloy=white-585&stone1=diamond-Brillant,"{""Product No"": ""unerka-b"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Color / Metal"": ""14K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 4.68 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.21"", ""Quantity of stones"": ""7"", ""Center Stone Diameter"": ""2.0 mm""}"
GLAMIRA Bracelet Waren,"$1,277.00",https://www.glamira.com/glamira-bracelet-waren.html?alloy=red-585&stone1=lab-grown-diamond&stone2=lab-grown-diamond,"{""Product No"": ""waren-b"", ""Gender"": ""Female"", ""Length"": ""17 - 20 cm (Adjustable)"", ""Color / Metal"": ""14K Rose Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 4.80 Grams"", ""Center Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""0.45"", ""Quantity of stones"": ""15"", ""Center Stone Diameter"": ""2.0 mm""}"
GLAMIRA Bangle Song,"$1,492.00",https://www.glamira.com/glamira-bangle-song.html?alloy=white-585&stone1=diamond-Brillant,"{""Product No"": ""song-b"", ""Gender"": ""Female"", ""Solid"": ""Yes"", ""Length"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal"": ""14K White Gold"", ""Rhodium Plated"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 6.17 Grams"", ""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.345"", ""Quantity of stones"": ""23"", ""Center Stone Diameter"": ""1.5 mm""}"
