name,price,url,details
Cultured Pearl Cross Bracelet 14K Yellow Gold 6.75”,99.99,https://www.kayoutlet.com/cultured-pearl-cross-bracelet-14k-yellow-gold-675-/p/V-351020401,"{""Stone(s)"": {""Stone Type"": ""Cultured Pearl"", ""Stone Color"": ""White"", ""Stone Shape"": ""Other"", ""Pearl Type"": ""Cultured Freshwater"", ""Pearl Size"": ""5 X  5.5""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""14K""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""6.75"", ""Bracelet Clasp Type"": ""Lobster""}, ""Product Details"": {""Length"": ""6.75 in"", ""Height"": ""11.25 mm"", ""Clasp Type"": ""Lobster""}}"
Triple Strand Herringbone Bracelet 14K Yellow Gold 7&quot;,799.99,https://www.kayoutlet.com/triple-strand-herringbone-bracelet-14k-yellow-gold-7/p/V-723286403,"{""Stone(s)"": {""Stone Type"": ""No Stone""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""14K""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""7"", ""Bracelet Clasp Type"": ""Lobster"", ""Bracelet Chain Type"": ""Herringbone""}, ""Product Details"": {""Length"": ""7 in"", ""Clasp Type"": ""Lobster"", ""Chain Type"": ""Herringbone""}}"
Infinity Station Anklet 10K Yellow Gold 10&quot;,169.99,https://www.kayoutlet.com/infinity-station-anklet-10k-yellow-gold-10/p/V-522462706,"{""Stone(s)"": {""Stone Type"": ""No Stone""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Metal Finish"": ""Polished"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Anklet"", ""Bracelet Length"": ""10"", ""Bracelet Clasp Type"": ""Spring-Ring"", ""Bracelet Chain Type"": ""Fashion"", ""Chain Solidity"": ""Solid""}, ""Product Details"": {""Length"": ""10 in"", ""Height"": ""4 mm"", ""Clasp Type"": ""Spring-Ring"", ""Chain Type"": ""Fashion""}}"
Beaded Anklet 10K Yellow Gold 10&quot;,199.99,https://www.kayoutlet.com/beaded-anklet-10k-yellow-gold-10/p/V-722700402,"{""Stone(s)"": {""Stone Type"": ""No Stone""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Anklet"", ""Bracelet Length"": ""10"", ""Bracelet Clasp Type"": ""Spring-Ring"", ""Bracelet Chain Type"": ""Cable""}, ""Product Details"": {""Length"": ""10 in"", ""Height"": ""3.5 mm"", ""Clasp Type"": ""Spring-Ring"", ""Chain Type"": ""Cable""}}"
Diamond Tilted Heart Lock Bracelet 1/15 ct tw 10K Yellow Gold 7.5&quot;,399.99,https://www.kayoutlet.com/diamond-tilted-heart-lock-bracelet-115-ct-tw-10k-yellow-gold-75/p/V-245324708,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/15"", ""Color"": ""I"", ""Clarity"": ""I2"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""Under 1/4 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone Setting"": ""Shared Prongs"", ""Stone 2 Diamond Clarity"": ""I3"", ""Stone 2 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Metal Finish"": ""Rhodium"", ""Gold Karat"": ""10K"", ""Rhodium Color"": ""White""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""7.5"", ""Bracelet Clasp Type"": ""Lobster"", ""Bracelet Chain Type"": ""Cable""}, ""Product Details"": {""Length"": ""7.5 in"", ""Clasp Type"": ""Lobster"", ""Chain Type"": ""Cable""}}"
Diamond & Heart Charm Station Bracelet 1/20 ct tw 10K Yellow Gold 7.5&quot;,399.99,https://www.kayoutlet.com/diamond-heart-charm-station-bracelet-120-ct-tw-10k-yellow-gold-75/p/V-802853301,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/20"", ""Color"": ""I"", ""Clarity"": ""I3"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""Under 1/4 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Bezel""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""7.5"", ""Bracelet Clasp Type"": ""Lobster"", ""Bracelet Chain Type"": ""Cable""}, ""Product Details"": {""Length"": ""7.5 in"", ""Clasp Type"": ""Lobster"", ""Chain Type"": ""Cable""}}"
High Polish Bangle Bracelet 10K Yellow Gold,599.99,https://www.kayoutlet.com/high-polish-bangle-bracelet-10k-yellow-gold/p/V-723275703,"{""Stone(s)"": {""Stone Type"": ""No Stone""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Bangle"", ""Bracelet Clasp Type"": ""Tongue""}, ""Product Details"": {""Height"": ""4.75 mm"", ""Clasp Type"": ""Tongue""}}"
KAY Lab-Grown Diamonds Swirl Link Bracelet 2 ct tw 10K Yellow Gold 7.25,1299.99,https://www.kayoutlet.com/kay-labgrown-diamonds-swirl-link-bracelet-2-ct-tw-10k-yellow-gold-725/p/V-701649701,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""2"", ""Color"": ""F"", ""Clarity"": ""VS2"", ""Certified Diamond"": ""Yes"", ""Lifetime Diamond Commitment"": ""Yes"", ""Certified Lab-Grown Diamond"": ""Yes"", ""Lifetime Lab-Grown Diamond Commitment"": ""Yes"", ""Stone Type"": ""Lab-Grown Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1 Ctw - Under 3 Ctw"", ""Stone Class"": ""Lab-Grown"", ""Stone Setting"": ""Pavé""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Metal Finish"": ""Polished"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""7.25"", ""Bracelet Clasp Type"": ""Box""}, ""Product Details"": {""Length"": ""7.25 in"", ""Height"": ""7.1 mm"", ""Clasp Type"": ""Box""}}"
Byzantine Greek Key Chain Bracelet Hollow 10K Yellow Gold 8.5&quot;,999.99,https://www.kayoutlet.com/byzantine-greek-key-chain-bracelet-hollow-10k-yellow-gold-85/p/V-563790207,"{""Stone(s)"": {""Stone Type"": ""No Stone""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""10K""}, ""Bracelet Design"": {""Bracelet Style"": ""Chain"", ""Bracelet Length"": ""8.5"", ""Bracelet Clasp Type"": ""Lobster"", ""Bracelet Chain Type"": ""Byzantine"", ""Chain Solidity"": ""Hollow""}, ""Product Details"": {""Length"": ""8.5 in"", ""Height"": ""5.3 mm"", ""Clasp Type"": ""Lobster"", ""Chain Type"": ""Byzantine""}}"
Men's Diamond Station Cuban Curb Chain Bracelet 1 ct tw 10K Yellow Gold 8.5&quot;,3999.99,https://www.kayoutlet.com/mens-diamond-station-cuban-curb-chain-bracelet-1-ct-tw-10k-yellow-gold-85/p/V-200590305,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1"", ""Color"": ""I"", ""Clarity"": ""I3"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1 Ctw - Under 3 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Pavé""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Metal Finish"": ""Rhodium"", ""Gold Karat"": ""10K"", ""Rhodium Color"": ""White""}, ""Bracelet Design"": {""Bracelet Style"": ""Fashion"", ""Bracelet Length"": ""8.5"", ""Bracelet Clasp Type"": ""Lobster"", ""Bracelet Chain Type"": ""Curb"", ""Bracelet Width"": ""8.8""}, ""Product Details"": {""Length"": ""8.5 in"", ""Width"": ""8.8 mm"", ""Height"": ""3.5 mm"", ""Clasp Type"": ""Lobster"", ""Chain Type"": ""Curb""}}"
